row ID,row m/z,row retention time,G95984_repeat_RG10_01_31635.mzXML Peak area,G95983_RA9_01_31462.mzXML Peak area,G95982_repeat_RB8_01_31543.mzXML Peak area,G95952_BA6_01_31659.mzXML Peak area,G96383_RA9_01_31737.mzXML Peak area,G96108_RC5_01_31487.mzXML Peak area,G96130_RE9_01_31521.mzXML Peak area,G95953_BB6_01_31682.mzXML Peak area,G96194_RD5_01_31500.mzXML Peak area,G96107_repeat_RD4_01_31616.mzXML Peak area,G96384_RB6_01_31763.mzXML Peak area,G96385_RB3_01_31754.mzXML Peak area,G96195_RG6_01_31579.mzXML Peak area,G96109_repeat_RB11_01_31549.mzXML Peak area,G96196_RC6_01_31488.mzXML Peak area,G96176_repeat_RE2_01_31625.mzXML Peak area,G95954_RF12_01_31571.mzXML Peak area,G96128_repeat2_BB7_01_31703.mzXML Peak area,G96177_repeat_RG12_01_31637.mzXML Peak area,G96129_RF11_01_31570.mzXML Peak area,G96178_repeat2_RH10_01_31679.mzXML Peak area,
2261,1052.202382892969,5.412587037037038,14825.474500000024,2442.1885000000016,30756.083999999988,63260.726000000024,0,72122.65650000001,39547.34099999994,72064.03800000012,45518.75250000005,2932.4485000000113,0,0,14241.881500000009,45596.26400000011,14833.38950000004,953.2299999999935,89568.49550000015,30675.39700000001,3153.4439999999886,48632.274999999885,13908.655999999966,
2262,636.9799870098212,4.052023148148148,1146.7790000000105,1272.744000000006,425.8549999999967,366.5250000000001,0,24463.837000000105,26730.944,411.2260000000004,16133.10299999988,48892.1205000001,0,0,45603.036500000366,37965.35349999991,40479.051999999756,41618.63049999962,547.1520000000025,61935.64950000036,89138.72750000056,64109.42400000042,85298.30400000005,
2263,1181.8980154334422,5.325480555555555,19598.918500000014,27720.12749999993,14009.300500000056,20234.30849999995,0,32561.301499999794,32545.863500000058,27699.257499999985,34033.31899999994,42489.324499999886,0,0,17022.322000000062,39093.59499999994,15228.294000000087,30135.219500000054,35887.59549999999,26432.287999999986,26329.792500000054,31774.36550000003,54290.76600000022,
2264,473.1308590171619,3.5572268518518513,17251.84299999993,2156.6559999999918,9530.225500000004,1480.8180000000038,0,19625.928500000016,31979.527000000075,1335.3655000000026,20786.94249999994,62629.312499999716,0,0,33959.762999999955,49379.317,26983.094000000077,125720.77800000038,5500.239500000002,41714.19800000003,88303.50600000004,39103.86500000016,69518.1365000001,
2273,709.3683966651957,4.623055882352942,1261.8730000000014,302.47499999999997,625.5130000000095,0,179.7950000000011,21088.59799999998,61083.192499999925,0,31617.978000000214,24691.59900000011,0,0,131707.6450000002,17863.57249999998,155702.71050000077,196905.77500000008,902.8954999999971,55832.26899999965,200535.55800000008,105477.91150000002,93206.68199999933,
2292,919.1344746845575,4.726573148148147,8967.244000000008,6974.129499999972,6991.739500000003,9025.125999999913,0,28955.457499999917,45351.03600000006,14923.866999999962,81497.1425000001,43928.61299999997,0,0,40725.07549999992,41126.573999999964,66427.63799999993,78642.72650000044,15154.18400000008,42809.502499999995,73092.2495,53999.71550000002,138419.95000000077,
2297,466.2413500110014,2.865526851851852,2665.0919999999896,1614.7879999999886,2810.8609999999926,1118.096000000004,0,13121.592000000077,27421.59699999998,1999.589499999995,130619.67050000001,13934.850500000066,0,0,138994.72199999966,12715.871000000003,183184.7645000001,167188.32099999936,2102.3710000000106,33117.25250000003,184879.28700000083,40059.62300000001,132971.96249999967,
2309,1097.1222116131014,5.140307936507938,46556.203499999756,36180.84499999986,41116.14749999991,39575.49050000017,25128.408499999932,11593.347000000058,7833.558000000069,49837.094999999754,4628.689499999984,11849.660999999936,19180.523499999974,13094.081499999924,1601.4374999999827,17271.180000000015,3210.6944999999905,5119.911499999975,41627.84150000041,8488.969499999881,5149.36349999992,7163.304999999975,7620.804000000071,
2315,1197.6152776539852,5.044325925925925,7619.952999999971,4244.691499999992,7209.197499999989,2456.6944999999846,0,27612.311999999896,31301.752000000066,3309.3344999999977,42072.75000000004,36822.609000000164,0,0,21150.217500000053,25280.504500000006,33178.152500000164,51149.58850000007,1819.1679999999465,30882.172499999982,39712.731000000094,40479.831000000144,55955.05400000011,
2336,1085.5926767723367,5.340282456140351,2575.889000000007,9003.265999999949,11469.147499999974,8059.859499999906,224.6115000000022,47965.56149999994,57082.136500000015,12488.781499999957,71766.60149999999,67120.18099999991,0,0,17678.718000000088,40181.23399999988,59188.81299999999,15385.93450000004,22327.621000000014,48466.49150000004,75429.4525,33335.30499999995,103169.29200000002,
